[-7.2148187820548e-06, array([7.28381787e-06]), array([9.93513977e-06])]
[-7.23537420535239e-06, array([7.28943923e-06]), array([9.93811774e-06])]
[-7.276263622421484e-06, array([7.30237493e-06]), array([9.98465361e-06])]
[-7.297367682831141e-06, array([7.35391174e-06]), array([1.00110105e-05])]
[-7.330401300814608e-06, array([7.37334369e-06]), array([1.00369364e-05])]
[-7.396099930596255e-06, array([7.40756562e-06]), array([1.0088499e-05])]
[-7.402987763493322e-06, array([7.42314848e-06]), array([1.01426888e-05])]
[-7.441200740664767e-06, array([7.46399134e-06]), array([1.016944e-05])]
[-7.466418577247989e-06, array([7.48472963e-06]), array([1.01994098e-05])]
[-7.526903237785465e-06, array([7.49249709e-06]), array([1.02128225e-05])]
[-7.5662147989329765e-06, array([7.50374188e-06]), array([1.02322397e-05])]
[-7.63571524212935e-06, array([7.52362198e-06]), array([1.0266568e-05])]
[-7.695334426855663e-06, array([7.54067562e-06]), array([1.02960158e-05])]
[-7.751678280854057e-06, array([7.55398071e-06]), array([1.03182046e-05])]
[-7.869412188018726e-06, array([7.603828e-06]), array([1.03645696e-05])]
[-7.950550500694248e-06, array([7.63539302e-06]), array([1.03965227e-05])]
[-8.146831176707601e-06, array([7.6536017e-06]), array([1.04738203e-05])]
[-8.203717986197876e-06, array([7.67035942e-06]), array([1.04919053e-05])]
[-8.279570757274401e-06, array([7.69270412e-06]), array([1.051602e-05])]
[-8.323663369474433e-06, array([7.72276014e-06]), array([1.05637335e-05])]
[-8.367586131246526e-06, array([7.79338455e-06]), array([1.0675849e-05])]
[-8.422120245943777e-06, array([7.88240341e-06]), array([1.07018443e-05])]
[-8.467424447485152e-06, array([7.89897091e-06]), array([1.07407936e-05])]
[-8.506828811029442e-06, array([7.91866384e-06]), array([1.07870906e-05])]
[-8.507009567200715e-06, array([7.94892916e-06]), array([1.08125333e-05])]
[-8.507672192972974e-06, array([7.96911149e-06]), array([1.08294996e-05])]
[-8.54789745511404e-06, array([7.97966904e-06]), array([1.08761742e-05])]
[-8.557567844335409e-06, array([8.0341067e-06]), array([1.0900384e-05])]
[-8.599493484939446e-06, array([8.05547376e-06]), array([1.09407534e-05])]
[-8.650290276807033e-06, array([8.06140659e-06]), array([1.09667366e-05])]
[-8.725966659004246e-06, array([8.08413223e-06]), array([1.09881184e-05])]
[-8.784764457047707e-06, array([8.10178923e-06]), array([1.1014175e-05])]
[-8.831509405336825e-06, array([8.13584755e-06]), array([1.10348903e-05])]
[-8.851707439883625e-06, array([8.18185929e-06]), array([1.10898759e-05])]
[-8.861565853933843e-06, array([8.20431706e-06]), array([1.11427637e-05])]
[-8.890852782270267e-06, array([8.25850145e-06]), array([1.12998802e-05])]
[-8.919183621238676e-06, array([8.30301183e-06]), array([1.13529942e-05])]
[-8.9771365843457e-06, array([8.32224946e-06]), array([1.13759504e-05])]
[-8.990000182411603e-06, array([8.34746627e-06]), array([1.1413821e-05])]
[-9.000279338819e-06, array([8.38266487e-06]), array([1.14666823e-05])]
[-9.054470179533799e-06, array([8.40676202e-06]), array([1.15028715e-05])]
